component	version	kind	license	official_source	evidence_path	evidence_sha256	use	distributed_in_restore_source_archive	handling
bslib	0.12.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=bslib	.library/bslib/DESCRIPTION	a7fec06bc302c04250a6a42f1749ef6399a7796f6f3c4e2e8fc508de7ce770ca	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.12.0
cachem	1.1.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=cachem	.library/cachem/DESCRIPTION	7d8c861a8b464fdd9f1fc33c134cd9d085d4c77d124b271043d702820d3838fe	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.1.0
cellranger	1.1.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=cellranger	.library/cellranger/DESCRIPTION	d9e3971d18f3bf6d73d01327cb46314d3e81d620c717d1108ca9e0a0014190a5	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.1.0
cli	3.6.6	R package	MIT + file LICENSE	https://cran.r-project.org/package=cli	.library/cli/DESCRIPTION	2f295b2eb100a791be27367d2cc684fcd66b100cfbcda30de6ea33446e59ea0f	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 3.6.6
commonmark	2.0.0	R package	BSD_2_clause + file LICENSE	https://cran.r-project.org/package=commonmark	.library/commonmark/DESCRIPTION	4cbf8d891a73164096cd8d01fe4d05e39aefc1bd5bb64cb96d46fdf0e067713d	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.0.0
cpp11	0.5.5	R package	MIT + file LICENSE	https://cran.r-project.org/package=cpp11	.library/cpp11/DESCRIPTION	9c2a1b99c91ee8f8be2ac0af45f4771b8f0fcddb8b3284b060a9a456b2310f30	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.5.5
crayon	1.5.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=crayon	.library/crayon/DESCRIPTION	3f521a6fd28c63194905b16d043a1f062e7ea596dcc81f86aa632c3f1da3a4f3	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.5.3
crosstalk	1.2.2	R package	MIT + file LICENSE	https://cran.r-project.org/package=crosstalk	.library/crosstalk/DESCRIPTION	44ba1cca8fb48d85b77e512ff54031f197a8bbddfa2fc389f025ee6aa3f67b41	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.2
curl	8.0.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=curl	.library/curl/DESCRIPTION	46b76c29bab04dbf8b0a3822de3a807fb53e902cc65862b8e8db452cdb8e0187	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 8.0.0
data.table	1.18.6.1	R package	MPL-2.0 | file LICENSE	https://cran.r-project.org/package=data.table	.library/data.table/DESCRIPTION	717015e8776701208c09d88cd2e7fac095b9139a84933126a8ddb93123f6d5e1	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.18.6.1
digest	0.6.39	R package	GPL (>= 2)	https://cran.r-project.org/package=digest	.library/digest/DESCRIPTION	b0a0ac2f1a21d993b80d1e69f5fe83e9843e9caf97def64fa337a0eddf3bef3b	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.6.39
dplyr	1.2.1	R package	MIT + file LICENSE	https://cran.r-project.org/package=dplyr	.library/dplyr/DESCRIPTION	bb016dd8ada0dbfab2dda9118bbd33562b720cd3245b85ca0f4555135967f734	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.1
edgeR	4.10.1	R package	GPL (>=2)	https://bioconductor.org/packages/edgeR	.library/edgeR/DESCRIPTION	ad42e29e24d86f70b2d514d50e6d884fc52c125653458178776ecf1aa8fe7b0d	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 4.10.1
evaluate	1.0.5	R package	MIT + file LICENSE	https://cran.r-project.org/package=evaluate	.library/evaluate/DESCRIPTION	46912a47ebfd7de090af7e4397ff5083264fdcfdf0a49d3b273f78591540abf4	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.0.5
farver	2.1.2	R package	MIT + file LICENSE	https://cran.r-project.org/package=farver	.library/farver/DESCRIPTION	9b701aed183bf08cc9f95e7f96e235ca85fe0eb3b0cfb52e11060e4e6f074a30	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.1.2
fastmap	1.2.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=fastmap	.library/fastmap/DESCRIPTION	cd1f25d4d81507901896831753b275a02c7d228186b5286749c51dd079f5f4ed	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.0
fontawesome	0.5.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=fontawesome	.library/fontawesome/DESCRIPTION	e82e8474971e40f8beecab87a24804823b6ad673b92f89f7f0e176cdcb8e99f1	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.5.3
fs	2.1.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=fs	.library/fs/DESCRIPTION	a0c255e6b62247129bec5ca8ef43fdadd6835d9412ba83dd68f32bf2b1960f25	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.1.0
generics	0.1.4	R package	MIT + file LICENSE	https://cran.r-project.org/package=generics	.library/generics/DESCRIPTION	037e81345a8b5fead2e17d776fc5585371c01a695d5a24b9154a34d04070ebfb	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.1.4
ggplot2	4.0.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=ggplot2	.library/ggplot2/DESCRIPTION	13dad272a3df5e26507362bbe918fa0ed8eb82513c73612383eb77e6f1e6b599	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 4.0.3
glue	1.8.1	R package	MIT + file LICENSE	https://cran.r-project.org/package=glue	.library/glue/DESCRIPTION	e55e7332d0832cd833c280d1e7c1bdb3cb3bb0acdb35c9bdd3a5d6a39636b601	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.8.1
gtable	0.3.6	R package	MIT + file LICENSE	https://cran.r-project.org/package=gtable	.library/gtable/DESCRIPTION	f1de1aeedf179b2d23e89d4442d4a504eb7d73db23fa2960240bf0e1b4e1c4e1	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.3.6
highr	0.12	R package	GPL	https://cran.r-project.org/package=highr	.library/highr/DESCRIPTION	93705a3fda007bcfcb83de33f8a154df4a7e18f99712dc2be5deb437e4e1243b	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.12
hms	1.1.4	R package	MIT + file LICENSE	https://cran.r-project.org/package=hms	.library/hms/DESCRIPTION	ac41656c2000701e11a319fa353b7d97c1b65d1fd3ba88879d415fc1caeb5956	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.1.4
htmltools	0.5.9	R package	GPL (>= 2)	https://cran.r-project.org/package=htmltools	.library/htmltools/DESCRIPTION	408a1607f5c39dc0ebd60df5618a02405ba08f5146eb6ac45c1f8e04b69b1d06	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.5.9
htmlwidgets	1.6.4	R package	MIT + file LICENSE	https://cran.r-project.org/package=htmlwidgets	.library/htmlwidgets/DESCRIPTION	eb9452e4b29ce20991c0b1eff70016a22f2c87737385c233fe43ff1137e279eb	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.6.4
httpuv	1.6.17	R package	GPL (>= 2) | file LICENSE	https://cran.r-project.org/package=httpuv	.library/httpuv/DESCRIPTION	9f17aa0b047b06fd52e992b101bf175f51385c29d15f683b735fd11f7b7ab4a5	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.6.17
httr	1.4.9	R package	MIT + file LICENSE	https://cran.r-project.org/package=httr	.library/httr/DESCRIPTION	529edc70d8dcdab8993954b1d4e38ca5a37d56ce446d7477e189303878edde9d	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.4.9
isoband	0.3.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=isoband	.library/isoband/DESCRIPTION	6c7c0b9640c88b03f87f7c903b21e191a5b2dc5f51f82f9c116582068639a57a	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.3.0
jquerylib	0.1.4	R package	MIT + file LICENSE	https://cran.r-project.org/package=jquerylib	.library/jquerylib/DESCRIPTION	e623225584725c3c2a1d21ee67b6cf55e073667f80c039c5d87abb71f221fb49	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.1.4
jsonlite	2.0.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=jsonlite	.library/jsonlite/DESCRIPTION	dc119fd78de3cfcee1ad641518a0460c6520caaa41ae36e85f91b7be79f6e785	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.0.0
knitr	1.51	R package	GPL	https://cran.r-project.org/package=knitr	.library/knitr/DESCRIPTION	4fb33824f0aad6a5325f49944c1b0c6b0527c8b6245bc0ce8e91a7a637c42ee7	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.51
labeling	0.4.3	R package	MIT + file LICENSE | Unlimited	https://cran.r-project.org/package=labeling	.library/labeling/DESCRIPTION	0fd581e08b3becd15153994bf0dc203432b46f4bf358fdd3e866b5c8ec5ebc0c	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.4.3
later	1.4.8	R package	MIT + file LICENSE	https://cran.r-project.org/package=later	.library/later/DESCRIPTION	0ac25436b466d9e345ffc8443e39898525326660777abfd65e6abe9dc887ccd2	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.4.8
lattice	0.23-1	R package	GPL (>= 2)	https://cran.r-project.org/package=lattice	.library/lattice/DESCRIPTION	1b9f1bd99a5e00580655b32fa7166f94f76f8da0b8e128d22aeb7271ffa07786	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.23-1
lazyeval	0.2.3	R package	GPL-3	https://cran.r-project.org/package=lazyeval	.library/lazyeval/DESCRIPTION	766b3696346c7fcd3d9f16315cb4ddc91fe4fd54aa7118f66cda459644a05980	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.2.3
lifecycle	1.0.5	R package	MIT + file LICENSE	https://cran.r-project.org/package=lifecycle	.library/lifecycle/DESCRIPTION	6614f2924e0aaa7fdee08e0a10db0c249b7627b04cf5b7fa4032f860e8c806e6	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.0.5
limma	3.68.4	R package	GPL (>=2)	https://bioconductor.org/packages/limma	.library/limma/DESCRIPTION	68b618a1f20996b4b661481b1b7bf8612e9a6f291058dfaffe7f5bc0e6bfc574	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 3.68.4
locfit	1.5-9.12	R package	GPL (>= 2)	https://cran.r-project.org/package=locfit	.library/locfit/DESCRIPTION	cead90aabeaf4c9c1014702c2dfaf540d010d9aa6a19b216ddcceb699949b7d1	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.5-9.12
magrittr	2.0.5	R package	MIT + file LICENSE	https://cran.r-project.org/package=magrittr	.library/magrittr/DESCRIPTION	c047e9a93662f6c124e63c9efa39fd56f31150cbb8f49528f2094e02b3cb6891	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.0.5
memoise	2.0.1	R package	MIT + file LICENSE	https://cran.r-project.org/package=memoise	.library/memoise/DESCRIPTION	b26ee502c51e14500630f1100c4d6966c4947310cd517e7fa597987ac06a2099	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.0.1
mime	0.13	R package	GPL	https://cran.r-project.org/package=mime	.library/mime/DESCRIPTION	e2cbdbe93b2c8119a77edc2cfc7662c1611a716bb38ce35356fe9ec064c2a42f	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.13
openssl	2.4.2	R package	MIT + file LICENSE	https://cran.r-project.org/package=openssl	.library/openssl/DESCRIPTION	27cc0dfd526a27cb0a9fcd972fa4441513ac543650651555f3d5835b199f255c	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.4.2
otel	0.2.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=otel	.library/otel/DESCRIPTION	58925405128c3025261326b08c6a35e6ddda76b0055031910bb1a1dff63eaa9d	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.2.0
pillar	1.11.1	R package	MIT + file LICENSE	https://cran.r-project.org/package=pillar	.library/pillar/DESCRIPTION	d01d69e61c9aff8dab387b98a0421ef1fdcdd9da089279810606936c5b6cd04e	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.11.1
pkgconfig	2.0.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=pkgconfig	.library/pkgconfig/DESCRIPTION	daf84da14d07511a6d13136480964fea5b3af1d4e4685dc5681fd8ef2502c4f9	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.0.3
plotly	4.12.1	R package	MIT + file LICENSE	https://cran.r-project.org/package=plotly	.library/plotly/DESCRIPTION	ee5fa6ed40587f23aa0b813db5fab12fde8b9e2608ce24010a285dbe6ec20096	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 4.12.1
prettyunits	1.2.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=prettyunits	.library/prettyunits/DESCRIPTION	32d364ff7e4f516b3d143315c9a8d9b51d7678c7d59dfd8bd6b1467f25ea22dc	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.0
processx	3.9.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=processx	.library/processx/DESCRIPTION	d6342659228a461859e3e53d9f486bc084ce17cb3020c95122825cefd18f8624	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 3.9.0
progress	1.2.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=progress	.library/progress/DESCRIPTION	166119327352e80f5b11bc56de49b5293cfa5075aa8d63a597faaf52ebb2e640	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.3
promises	1.5.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=promises	.library/promises/DESCRIPTION	d93ddfc671f620c348ecf6952e79f8ced7ffc8c3152c24be0a51c46e8142e431	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.5.0
ps	1.9.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=ps	.library/ps/DESCRIPTION	5ff85150a1d4b2db459eda690b2ed378149c0efd66aea3fdad9a0b7849472408	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.9.3
purrr	1.2.2	R package	MIT + file LICENSE	https://cran.r-project.org/package=purrr	.library/purrr/DESCRIPTION	3508d54a0b3765dbdf469c8f0326960eba639c0f471c474ddf2bab8ae020bea2	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.2
ragg	1.5.2	R package	MIT + file LICENSE	https://cran.r-project.org/package=ragg	.library/ragg/DESCRIPTION	b62008e77a5c0b4537db43526b9b765361cc89826888bf3a66b2a93eb209dccd	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.5.2
rappdirs	0.3.4	R package	MIT + file LICENSE	https://cran.r-project.org/package=rappdirs	.library/rappdirs/DESCRIPTION	58a7221f977483b0c0f43565e3b91ce2a72b6bafff348927a295697866bcd7b0	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.3.4
readxl	1.5.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=readxl	.library/readxl/DESCRIPTION	a1b0eb84bcd81ed1a8cda716fc6fa80e688e5a9d867810c018bbe6caceede98c	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.5.0
rematch	2.0.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=rematch	.library/rematch/DESCRIPTION	9d5691d84ddc608f5469b8d9175315f6d8331c26c18a5558cd5436dccca75ff7	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.0.0
renv	1.2.4	R package	MIT + file LICENSE	https://cran.r-project.org/package=renv	.library/renv/DESCRIPTION	d7c68b39fbfe726ab2fef4c9d273f04aec51e2224b25bc51d465ad44bbe79065	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.4
rlang	1.3.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=rlang	.library/rlang/DESCRIPTION	64f4f9dea4fa03ced97f36ece51f8f81c8ac67183eb8b48cf53ed68aa731ee64	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.3.0
rmarkdown	2.32	R package	MIT + file LICENSE	https://cran.r-project.org/package=rmarkdown	.library/rmarkdown/DESCRIPTION	a962de18f9a66af620294f688248ad5503207be41f50879b16049a7650448307	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.32
sass	0.4.10	R package	MIT + file LICENSE	https://cran.r-project.org/package=sass	.library/sass/DESCRIPTION	009c8325d294678488ea60a837b28d88d7d9e62b8acc89075db0fd2b50ac54fa	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.4.10
scales	1.4.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=scales	.library/scales/DESCRIPTION	9afcce98b40ea1b83549b068ff7d2dc1b496a021d46c020efe0b5802c01ea61c	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.4.0
shiny	1.14.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=shiny	.library/shiny/DESCRIPTION	32eb359262a39ea48b3cb428a6654a022981d6f64fda6339d2711e6e3005538c	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.14.0
sourcetools	0.1.7-2	R package	MIT + file LICENSE	https://cran.r-project.org/package=sourcetools	.library/sourcetools/DESCRIPTION	e37ca554219f4975dca3cce6a94674c24f64bf47861a9d7aed721eccc495a46b	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.1.7-2
statmod	1.5.2	R package	GPL-2 | GPL-3	https://cran.r-project.org/package=statmod	.library/statmod/DESCRIPTION	54ec0cc07d46b61c137f345fc18240c02c3560d126a6e72eb657e8ed15d2bbb8	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.5.2
stringi	1.8.9	R package	file LICENSE	https://cran.r-project.org/package=stringi	.library/stringi/DESCRIPTION	b84f832d2c83a025e5f7d9edd82725978037d08074dca139b9a561c844235cf1	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.8.9
stringr	1.6.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=stringr	.library/stringr/DESCRIPTION	877c671ca7132415e349ae3c7914a7c2e6e5bb398ea5c2cc3d679b8182772868	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.6.0
svglite	2.2.2	R package	GPL (>= 2)	https://cran.r-project.org/package=svglite	.library/svglite/DESCRIPTION	d4b580382c4e3b9efc2640713b85bfd3e5e09cfa6127953e17fc03b4d44abc42	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.2.2
sys	3.4.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=sys	.library/sys/DESCRIPTION	2333036007f2533ff6bb7161565eb1a8f3a7c024abb5517228812f06fc84fd3d	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 3.4.3
systemfonts	1.3.2	R package	MIT + file LICENSE	https://cran.r-project.org/package=systemfonts	.library/systemfonts/DESCRIPTION	7014c03e054a276608990a7263e5c406ded6f11e2214dcdf43bd2cf37bee2b78	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.3.2
textshaping	1.0.5	R package	MIT + file LICENSE	https://cran.r-project.org/package=textshaping	.library/textshaping/DESCRIPTION	fc3476ef06244e8496ebc765104cba78701b24c2ce455a4da98f955ef16bb5dd	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.0.5
tibble	3.3.1	R package	MIT + file LICENSE	https://cran.r-project.org/package=tibble	.library/tibble/DESCRIPTION	39bfede7ca3ddb28b68022ae6411f9086401aef558cba7e20ae4cfe1b1531084	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 3.3.1
tidyr	1.3.2	R package	MIT + file LICENSE	https://cran.r-project.org/package=tidyr	.library/tidyr/DESCRIPTION	f99b57cc35536acceb08fe61ccf55c81285af04aa7c030ced6b8548ff0517cdd	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.3.2
tidyselect	1.2.1	R package	MIT + file LICENSE	https://cran.r-project.org/package=tidyselect	.library/tidyselect/DESCRIPTION	ee26f51985be7280c5889118760a5360fe2ce8d132ff35b67b69f9cb149c2aec	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.1
tinytex	0.60	R package	MIT + file LICENSE	https://cran.r-project.org/package=tinytex	.library/tinytex/DESCRIPTION	9771cdf8153b322f1b5163084fe8293a89c741f19ac635883d8ffd5dba6a7583	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.60
utf8	1.2.6	R package	Apache License (== 2.0) | file LICENSE	https://cran.r-project.org/package=utf8	.library/utf8/DESCRIPTION	240fab5d343c424df21665d61e663b711f8e1926457b22c66a7a64f2404dbd59	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.6
vctrs	0.7.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=vctrs	.library/vctrs/DESCRIPTION	9a5e28afbf43f409be69975e58a76d74bd08efeeb61e741f0da42c8154034d97	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.7.3
viridisLite	0.4.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=viridisLite	.library/viridisLite/DESCRIPTION	8cd78bc88b8ddfdb6022c319acbe1b73ea99e80434ca3983253965bb05b7d29f	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.4.3
withr	3.0.3	R package	MIT + file LICENSE	https://cran.r-project.org/package=withr	.library/withr/DESCRIPTION	02653f2a51ab19162e4839203dbdda891bc039d4d8e5cca2df04f93277de354e	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 3.0.3
xfun	0.60	R package	MIT + file LICENSE	https://cran.r-project.org/package=xfun	.library/xfun/DESCRIPTION	a1e2d03262cb5c20b0a5095235a8292cea3ffdaaea2568436716ab6dc038e9d3	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.60
xtable	1.8-8	R package	GPL (>= 2)	https://cran.r-project.org/package=xtable	.library/xtable/DESCRIPTION	2b6c5f22726f34d101f2c1ee07a6961c6661770cdcfc75e50666878870276083	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.8-8
yaml	2.3.12	R package	BSD_3_clause + file LICENSE	https://cran.r-project.org/package=yaml	.library/yaml/DESCRIPTION	e419d3efa22fbe0f563f848d217068f41b1f6cc517c39aa24a912679c22f4c12	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.3.12
zip	3.0.2	R package	MIT + file LICENSE	https://cran.r-project.org/package=zip	.library/zip/DESCRIPTION	c1e28238fbd6d3c41a856d97b1915283f7938a31957896a4544bab4d9b5ae2ef	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 3.0.2
